player,Zona,Equipo,Fuera,Bloqueado,Parado,Gol,Palo,TirosTotales,%Fuera,%Bloqueado,%Parado,%Gol,%Palo
Carlos Fernández,18,Granada,6,1,1,5,0,13,46.15,7.69,7.69,38.46,0.0
Carlos Neva,9,Granada,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Neva,13,Granada,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Neva,14,Granada,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Neva,18,Granada,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Neva,19,Granada,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Carlos Soler,8,Valencia,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Carlos Soler,9,Valencia,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carlos Soler,12,Valencia,0,2,1,0,0,3,0.0,66.67,33.33,0.0,0.0
Carlos Soler,13,Valencia,0,1,0,1,0,2,0.0,50.0,0.0,50.0,0.0
Carlos Soler,14,Valencia,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Carlos Soler,17,Valencia,0,0,1,0,1,2,0.0,0.0,50.0,0.0,50.0
Carlos Soler,18,Valencia,0,0,0,1,0,1,0.0,0.0,0.0,100.0,0.0
Casemiro,1,Real Madrid,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Casemiro,3,Real Madrid,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Casemiro,7,Real Madrid,1,0,1,0,0,2,50.0,0.0,50.0,0.0,0.0
Casemiro,8,Real Madrid,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Casemiro,13,Real Madrid,1,0,0,1,0,2,50.0,0.0,0.0,50.0,0.0
Casemiro,18,Real Madrid,1,1,1,3,0,6,16.67,16.67,16.67,50.0,0.0
Charles,7,Eibar,0,1,0,0,0,1,0.0,100.0,0.0,0.0,0.0
Charles,9,Eibar,0,0,1,0,0,1,0.0,0.0,100.0,0.0,0.0
Charles,12,Eibar,1,0,0,0,0,1,100.0,0.0,0.0,0.0,0.0
Charles,13,Eibar,2,4,1,1,0,8,25.0,50.0,12.5,12.5,0.0
Charles,18,Eibar,1,0,0,2,0,3,33.33,0.0,0.0,66.67,0.0
